tag_name,cosine_similarity
patriotism,0.5530
patriotism,0.4921
blood,0.4867
sailing,0.4675
patriotism,0.4176
agriculture,0.4102
ukraine,0.3571
Ukrainians,0.3459
historicalawareness,0.3393
capitalism,0.3186
economics,0.2888
skepticism,0.2887
bodies,0.2875
currency,0.2825
purchasing-power,0.2804
import,0.2563
communism,0.2493
economics,0.2280
economy,0.2272
analysis,0.2260
giving,0.2032
politics,0.1785
economics,0.1617
corruption,0.1594
riskmanagement,0.1113
logic,0.1106
decisionmaking,0.1038
autism,0.1005
牺牲,0.0721
politics,0.0702
救人,0.0391
inevitability,0.0309
道德,-0.0028
