tag_name,cosine_similarity
inflation,0.5249
romance,0.4327
real_estate,0.3814
dream,0.3581
inflation,0.3486
love,0.3465
market,0.3360
break,0.3114
loans,0.3047
apartments,0.2596
economics,0.2557
apartments,0.2513
market,0.2446
economics,0.2351
purchasing_power,0.2287
love,0.2261
emotions,0.2106
housing,0.2098
loans,0.2061
interviews,0.2055
media,0.2030
pain,0.2019
profit,0.2011
housing,0.1898
rent,0.1864
prices,0.1823
economy,0.1775
thinking,0.1539
surprise,0.1457
money,0.1421
betrayal,0.1246
prices,0.1157
warning,0.0914
