tag_name,cosine_similarity
investment,0.5808
investment,0.5499
radio,0.5186
pensions,0.4795
communism,0.4791
pensions,0.4711
pensions,0.4697
inflation,0.4683
poland,0.4642
pensions,0.4564
pension,0.4518
communism,0.4488
pensions,0.4478
pensions,0.4472
socialism,0.4468
investing,0.4409
taxation,0.4360
poland,0.4310
pensions,0.4258
pensions,0.4170
Ukraine,0.4163
poland,0.4098
ukraine,0.4092
pension,0.3800
aging,0.3760
Ukraine,0.3733
retirement,0.3631
bankruptcy,0.3610
corruption,0.3607
deposits,0.3602
ukraine,0.3515
future,0.3495
poland,0.3454
vat,0.3371
scams,0.3230
zlotys,0.3223
pensions,0.3214
social solidarity,0.3163
shopping,0.3153
ukrainians,0.3144
migration,0.3058
ZUS,0.3039
economics,0.3018
cost,0.2964
education,0.2932
fraud,0.2896
workforce,0.2841
politics,0.2825
equality,0.2769
profit,0.2741
money,0.2726
finances,0.2710
business,0.2704
communism,0.2690
ideology,0.2630
business,0.2613
poverty,0.2613
pension,0.2591
corruption,0.2587
accounts,0.2543
taxation,0.2446
mafia,0.2427
money,0.2350
payments,0.2289
system,0.2237
economy,0.2222
corruption,0.2193
stealing,0.2181
workforce,0.2100
bloodflow,0.2095
investment,0.2081
advisors,0.2077
translation,0.2052
taxation,0.2032
economy,0.2002
knowledge,0.1976
government,0.1960
children,0.1932
government,0.1930
system,0.1927
popularity,0.1903
fraud,0.1878
statistics,0.1865
migration,0.1854
congress,0.1853
sustainability,0.1833
society,0.1817
inefficiency,0.1755
knowledge,0.1753
milk,0.1738
economic,0.1716
tv,0.1688
economy,0.1687
coaches,0.1681
mothers,0.1663
government,0.1661
taxes,0.1658
mafia,0.1655
tax,0.1645
money,0.1602
economy,0.1580
us,0.1564
bankruptcy,0.1560
economy,0.1535
economy,0.1529
aid,0.1511
economy,0.1469
reform,0.1389
economic,0.1338
war,0.1321
social,0.1301
joke,0.1222
economy,0.1195
quality,0.1188
education,0.1172
money,0.1159
finance,0.1024
transformation,0.1023
lifeextension,0.0970
commission,0.0733
economy,0.0594
reduction,0.0572
self_improvement,0.0445
control,0.0416
control,0.0359
politics,0.0340
TikTok,0.0317
ineffectiveness,-0.0040
hunger,-0.0546
