tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
housingloans,0.4114,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
inflation,0.3284,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
housingmarket,0.3228,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
finance,0.3011,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
housing,0.2956,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
investment,0.2681,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
economics,0.2655,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
capitalism,0.2562,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
real_estate,0.2486,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
debt,0.2384,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
crisis,0.2369,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
refugees,0.2356,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
real estate,0.2273,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
investing,0.2242,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
development,0.2190,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
economy,0.2150,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
corruption,0.2116,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
growth,0.2056,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
rental_market,0.1976,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
banking,0.1968,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
buying,0.1912,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
credit,0.1728,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
future,0.1707,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
modeling,0.1684,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
tragedy,0.1625,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
apartments,0.1616,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
assuming,0.1525,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
strategy,0.1483,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
distribution,0.1481,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
government,0.1472,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
complexity,0.1444,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
business,0.1428,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
education,0.1424,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
industry,0.1378,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
marketcrash,0.1369,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
banks,0.1355,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
polishMarket,0.1342,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
competition,0.1315,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
facts,0.1267,4.14734682643211e-13,0.054618473895582324,0.003215434083601286,0.03775100401606426,-0.49792659282684326
