tag_name,cosine_similarity
corruption,0.4624
government,0.4299
police,0.4091
police,0.3897
fraud,0.3856
scammers,0.3729
police,0.3556
corruption,0.3524
fraud,0.3428
justice,0.3423
scams,0.3422
police,0.3390
judiciary,0.3386
corruption,0.3103
economy,0.3033
crime,0.3000
fraud,0.2995
scandal,0.2850
scandal,0.2801
scandal,0.2765
fraud,0.2743
scammers,0.2635
tax,0.2439
justice,0.2389
police,0.2362
compensation,0.2135
finance,0.2068
responsibility,0.1971
integrity,0.1670
protection,0.1636
finance,0.1632
economy,0.1587
scandal,0.1587
politics,0.1350
past,-0.0200
change,-0.0361
