tag_name,cosine_similarity
inflation,0.5249
poland,0.5046
infatuation,0.4564
romance,0.4327
awakening,0.4057
real_estate,0.3814
love,0.3465
economy,0.2957
economy,0.2955
Poland,0.2843
economy,0.2766
economy,0.2515
crisis,0.2466
economy,0.2460
real estate,0.2436
dystopia,0.2410
heartbreak,0.2357
crash,0.2312
purchasing_power,0.2287
speculation,0.2254
emotions,0.2106
pain,0.2019
economy,0.2019
prices,0.1823
realty,0.1810
market,0.1512
zlotys,0.1357
betrayal,0.1246
mr,0.1030
warning,0.0914
future,0.0678
fantasy,0.0606
euphoria,0.0468
