tag_name,cosine_similarity
sheep mentality,0.5353
cryptocurrency,0.5156
mariusz_stefaniak,0.5041
fuelprices,0.4830
public-fear,0.4768
global impact,0.4652
human-health,0.4569
financial-effects,0.4522
societal manipulation,0.4503
united-states(documented),0.4498
2023,0.4456
human perspective,0.4419
mariusz-stefaniak,0.4406
covid-19,0.4394
pandemic,0.4362
debunk,0.4244
financier,0.4154
dangerous-substances,0.4094
european-union,0.4029
forecasting,0.4028
housing market,0.4000
curfew,0.3994
financial-links,0.3988
european-funds,0.3961
financialist,0.3877
societal-impact,0.3695
finance,0.3633
information control,0.3615
international issues,0.3594
bitcoin,0.3571
bitcoins,0.3561
politics,0.3523
predictability,0.3500
graduate-schools,0.3481
philosophy,0.3461
constitution,0.3389
worldview,0.3370
marketing,0.3339
economics,0.3338
economy,0.3328
governance,0.3302
ukraine,0.3284
corporations,0.3276
business,0.3272
parliamentarians,0.3263
real estate,0.3260
profitability,0.3256
corruption,0.3211
science,0.3179
sheep herd,0.3141
optimism,0.3138
innovation,0.3137
advice,0.3121
china,0.3104
propaganda,0.3101
inflation,0.3089
manager,0.3087
conflict,0.3042
governors,0.3021
regulations,0.3005
complexity,0.2995
apartments,0.2993
controversy,0.2989
myth,0.2957
experts,0.2946
intelligence,0.2936
secrets,0.2926
poland,0.2926
russia,0.2912
teaching,0.2911
economist,0.2908
mass media,0.2899
change,0.2890
losses,0.2883
gains,0.2883
revolt,0.2881
representation,0.2879
markets,0.2875
radio,0.2857
mysterious,0.2847
history,0.2836
discovery,0.2829
foundation,0.2827
virus,0.2827
government,0.2810
safety,0.2806
international,0.2803
contracts,0.2795
rights,0.2785
freedom,0.2782
media,0.2774
learning,0.2773
audition,0.2749
pressure,0.2727
power,0.2727
authority,0.2702
war,0.2699
attack,0.2694
growth,0.2691
military,0.2691
forecast,0.2657
belief,0.2656
elections,0.2590
shepherd,0.2582
listeners,0.2568
conspiracy,0.2567
regulation,0.2554
sheep,0.2551
speculation,0.2546
vaccines,0.2542
investment,0.2532
crisis,0.2515
ambiguous,0.2513
refugees,0.2499
oppression,0.2474
trading,0.2467
prediction,0.2456
impact,0.2439
guest,0.2394
scale,0.2389
encouragement,0.2372
forced,0.2350
profession,0.2347
market,0.2302
music,0.2291
europe,0.2258
promotion,0.2178
pursuit,0.2167
summary,0.2138
european,0.2058
professional,0.2008
unrelated,0.1985
