tag_name,cosine_similarity
"""transhumanism",0.6497
AI,0.5063
AI,0.4724
AI,0.4446
"""radio""",0.4309
AI,0.4261
intelligence,0.4164
AI,0.4047
AI,0.3998
AI,0.3996
Technology,0.3740
DataLeak,0.3689
Conspiracy,0.3639
AI,0.3536
Corruption,0.3466
outsourcing,0.3441
Intelligence,0.3418
AI,0.3335
dishonest,0.3267
Intelligence,0.3246
Privacy,0.3220
AI,0.3170
Technology,0.3049
future,0.3046
AI,0.3037
AI,0.3011
AI,0.2913
migration,0.2699
Water,0.2629
workers,0.2592
surveillance,0.2569
labor,0.2523
bureaucracy,0.2498
War,0.2487
Samsung,0.2479
Technology,0.2475
surveillance,0.2471
privacy,0.2394
Corruption,0.2365
Economy,0.2334
"Neuralink""",0.2312
technology,0.2306
Crisis,0.2288
Brazil,0.2259
AI,0.2257
Surveillance,0.2229
Jobs,0.2188
technology,0.2187
scifi,0.2179
technology,0.2174
manipulation,0.2162
Economics,0.2103
technology,0.2095
Workforce,0.2093
Sanctions,0.2078
surveillance,0.2052
"""stations""",0.2004
Technology,0.2004
Technology,0.1981
ElonMusk,0.1942
Poverty,0.1781
Politics,0.1779
Algorithms,0.1766
Education,0.1726
Fear,0.1711
Economics,0.1685
Economy,0.1663
Economy,0.1662
Samsung,0.1652
Ai,0.1652
future,0.1637
humanity,0.1599
Tools,0.1581
Facts,0.1549
stupid,0.1522
Business,0.1521
"""area""",0.1520
Companies,0.1435
Culture,0.1434
bias,0.1423
DataSecurity,0.1376
Economy,0.1372
Europe,0.1333
Politics,0.1216
ai,0.1087
Economy,0.0922
Court,0.0760
rule,0.0754
algorithms,0.0607
optimization,0.0170
Weapons,-0.0094
Sanctions,-0.0101
HeatPumps,-0.1268
