tag_name,cosine_similarity
CarbonEmissions,0.4992
ElectricCar,0.4699
Emissions,0.4076
ElectricCars,0.4074
"""ElectricCars",0.4034
ElectricCars,0.3152
ElectricVehicles,0.3124
Ecology,0.2843
ElectricCars,0.2616
"""Economics",0.2615
Energy,0.2573
Monopoly,0.2094
EU,0.1956
Market,0.1916
Environment,0.1872
Economics,0.1871
Environment,0.1796
RepairCosts,0.1735
Environment,0.1396
Technology,0.1290
Politics,0.1287
Safety,0.1219
Money,0.0909
Control,0.0713
"Assumptions""",0.0661
"Money""",0.0604
Economy,0.0530
