tag_name,cosine_similarity
marketdecline,0.4805
witcher,0.4595
2022,0.4543
clientrelations,0.4253
mockery,0.4221
sapkowski,0.4186
supplychain,0.4150
realestate,0.3950
billionaires,0.3941
techgiants,0.3869
peterjackson,0.3768
were,0.3708
tradewar,0.3606
finance,0.3565
psychology,0.3348
business,0.3295
economy,0.3290
website,0.3263
corruption,0.3192
world,0.3165
wealth,0.3160
industry,0.3148
assets,0.3128
china,0.3125
movies,0.3108
money,0.3054
uncertainty,0.3053
poland,0.3019
losses,0.2991
batteries,0.2940
netflix,0.2916
censorship,0.2916
culture,0.2885
cars,0.2880
criticism,0.2859
radio,0.2827
streaming,0.2825
tesla,0.2824
interview,0.2812
too,0.2775
prices,0.2758
value,0.2751
amazon,0.2742
government,0.2731
threat,0.2725
tolkien,0.2719
investors,0.2708
loss,0.2688
factory,0.2680
media,0.2677
car,0.2658
hollywood,0.2650
tickets,0.2644
billionaire,0.2643
brand,0.2618
trends,0.2579
demand,0.2574
crisis,0.2547
investment,0.2509
failure,0.2483
stocks,0.2453
tech,0.2441
fantasy,0.2429
decline,0.2412
broadcast,0.2350
bargain,0.2306
sale,0.2241
expectation,0.2185
entertainment,0.1841
station,0.1822
studios,0.1398
cinema,0.0933
