tag_name,cosine_similarity
forecasting,0.4578
market_forecasts,0.4099
market prediction,0.3811
unpredictability,0.3575
economics,0.2984
prediction,0.2940
finance,0.2697
market_trends,0.2633
business,0.2389
politics,0.2342
realestate,0.2289
economy,0.2289
expertise,0.2153
reality,0.2083
globalissues,0.2075
investment,0.2065
conspiracy,0.1845
banking,0.1783
cryptocurrency,0.1772
world_complexity,0.1759
expert,0.1670
government,0.1655
expertOpinion,0.1469
revelation,0.1426
bitcoin,0.1389
world,0.1314
leadership,0.1228
expertopinion,0.1180
profit,0.1173
secrecy,0.1050
conflict,0.0918
informationcontrol,0.0784
china,0.0713
power,0.0649
censorship,0.0646
media\_control,0.0369
dissent,0.0095
sheep\_symbolism,-0.0004
shepherd,-0.0119
