tag_name,cosine_similarity
electric cars,0.6291
electric vehicles,0.6198
electric cars,0.5474
electric vehicles,0.5152
automotive emissions,0.4720
battery production,0.4570
electricity,0.4484
carbon dioxide,0.3739
car repairs,0.3671
automotive industry,0.3243
European Union,0.3150
ecology,0.2867
batteries,0.2844
environment,0.2821
vehicle production,0.2803
environmental impact,0.2728
environment,0.2658
monopoly,0.2339
economist,0.2137
transportation,0.2064
energy,0.1927
economy,0.1657
safety,0.1280
repair complexity,0.1266
power,0.1259
environmental法规,0.1108
deception,0.0022
