tag_name,cosine_similarity
debate,0.4602
communication,0.3951
rations,0.3759
government,0.2788
apocalypse,0.2596
celebrities,0.2526
"""anti-corruption",0.2384
religion,0.2349
apology,0.2239
logic,0.2177
scientology,0.1818
absurdity,0.1523
humor,0.1379
abuse,0.1197
authority,0.1134
authority,0.1051
"art""",0.0862
aggression,0.0670
america,0.0627
danger,0.0608
ai,0.0598
actors,0.0441
appearances,0.0375
ability,0.0327
advertising,0.0245
apology,0.0210
ai,0.0144
apology,-0.0023
appearances,-0.0095
access,-0.0141
aging,-0.0171
