tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
inflation,0.6545,2.3610534498378854e-14,0.05888324873096446,0.0,0.048730964467005075,-0.4135759770870209
economy,0.2555,2.3610534498378854e-14,0.05888324873096446,0.0,0.048730964467005075,-0.4135759770870209
economics,0.2265,2.3610534498378854e-14,0.05888324873096446,0.0,0.048730964467005075,-0.4135759770870209
globalization,0.2099,2.3610534498378854e-14,0.05888324873096446,0.0,0.048730964467005075,-0.4135759770870209
poland,0.1862,2.3610534498378854e-14,0.05888324873096446,0.0,0.048730964467005075,-0.4135759770870209
lies,0.1507,2.3610534498378854e-14,0.05888324873096446,0.0,0.048730964467005075,-0.4135759770870209
money,0.1458,2.3610534498378854e-14,0.05888324873096446,0.0,0.048730964467005075,-0.4135759770870209
government,0.1228,2.3610534498378854e-14,0.05888324873096446,0.0,0.048730964467005075,-0.4135759770870209
pressure,0.1133,2.3610534498378854e-14,0.05888324873096446,0.0,0.048730964467005075,-0.4135759770870209
pandemic,0.1112,2.3610534498378854e-14,0.05888324873096446,0.0,0.048730964467005075,-0.4135759770870209
statistics,0.1037,2.3610534498378854e-14,0.05888324873096446,0.0,0.048730964467005075,-0.4135759770870209
prices,0.0759,2.3610534498378854e-14,0.05888324873096446,0.0,0.048730964467005075,-0.4135759770870209
counting,0.0660,2.3610534498378854e-14,0.05888324873096446,0.0,0.048730964467005075,-0.4135759770870209
destruction,0.0473,2.3610534498378854e-14,0.05888324873096446,0.0,0.048730964467005075,-0.4135759770870209
threat,0.0266,2.3610534498378854e-14,0.05888324873096446,0.0,0.048730964467005075,-0.4135759770870209
ultimatum,0.0228,2.3610534498378854e-14,0.05888324873096446,0.0,0.048730964467005075,-0.4135759770870209
gdp,-0.0387,2.3610534498378854e-14,0.05888324873096446,0.0,0.048730964467005075,-0.4135759770870209
