tag_name,cosine_similarity
constitution,0.9056
covid-19,0.9169
experts,0.9165
cryptocurrency,0.9156
speculative trading,0.9203
global issues,0.9219
area,0.8934
forecasting,0.9055
power,0.8930
housing market,0.9175
european union,0.9233
sheep and shepherd metaphor,0.9284
war,0.8947
contracts,0.9147
finance,0.9131
decision-making,0.9234
pandemic,0.9146
financial,0.8919
pressure,0.8963
Ukraine conflict,0.9242
political decisions,0.9217
public opinion,0.9227
politics,0.8980
conflict,0.9138
real estate,0.9127
economics,0.9133
corruption,0.8986
europe,0.9105
financial expertise,0.9156
link,0.8931
music,0.8957
video,0.8931
investment,0.9126
inflation,0.9122
economy,0.9189
china,0.9025
freedom,0.8973
myth-busting,0.9250
vaccines,0.9068
news,0.9008
